Time,ATL13melt WGS84,lat,lon,apparent depth (m)
31690135.4016557,68.3665,-71.63895594,67.86017943,1.2786
31690135.4035057,68.6609,-71.63905658,67.86013823,0.8958
31690135.4051057,68.5089,-71.63915084,67.86009986,1.0934
31690135.4066057,68.2392,-71.63924527,67.86006214,1.4440
31690135.4081557,68.5355,-71.63934255,67.86002293,1.0588
31690135.4098557,68.3918,-71.63944932,67.85998029,1.2457
31690135.4120557,68.3103,-71.63958737,67.85992511,1.3517
31690135.4141557,68.3272,-71.63971901,67.85987223,1.3296
31690135.4157557,68.4330,-71.63982034,67.85983369,1.1921
31690135.4173557,68.5812,-71.63991944,67.85979103,0.9995
31690135.4189057,68.6533,-71.64001647,67.85975131,0.9057
31690135.4204557,68.5837,-71.64011357,67.85971198,0.9962
31690135.4224557,68.2687,-71.64023903,67.85966001,1.4057
31690135.4247557,67.5496,-71.64038261,67.85959723,2.3406
31690135.4266557,67.7404,-71.64050158,67.85954558,2.0925
31690135.4282057,68.6218,-71.64059864,67.85950323,0.9467
31690135.4297057,67.5468,-71.6406926,67.85946217,2.3442
31690135.4313057,67.7051,-71.64079293,67.85941846,2.1384
31690135.4331557,68.3506,-71.64090881,67.85936766,1.2992
31690135.4361057,64.7974,-71.64109385,67.85928727,5.9184
31690135.4391057,64.6695,-71.6412832,67.85920787,6.0847
31690135.4420057,65.4905,-71.6414643,67.85912874,5.0174
31690135.4452057,65.4870,-71.64166548,67.85904498,5.0219
31690135.4477557,65.1418,-71.64182592,67.85897948,5.4706
31690135.4599557,64.7898,-71.64258873,67.85865867,5.9282
31690135.4732557,64.2240,-71.64342286,67.85830587,6.6638
31690135.4870557,64.1468,-71.64428943,67.85793299,6.7642
31690135.4998057,65.2422,-71.64509269,67.85759302,5.3401
31690135.5079557,65.9488,-71.64560422,67.85737519,4.4215
31690135.5111057,65.8969,-71.64580069,67.85728971,4.4891
31690135.5133057,66.6215,-71.64593798,67.85722999,3.5470
31690135.5153557,66.6892,-71.64606607,67.85717444,3.4591
31690135.5173057,66.9623,-71.64617893,67.85712618,3.1040
31690135.5191557,66.2790,-71.64628725,67.85708354,3.9923
31690135.5207057,66.8492,-71.64638223,67.85703805,3.2511
31690135.5222057,67.7599,-71.64647883,67.85699504,2.0672
31690135.5236557,68.1160,-71.64657003,67.85695561,1.6042
31690135.5251057,67.9659,-71.64666128,67.8569162,1.7993
31690135.5266057,68.6964,-71.64675268,67.85687704,0.8497
31690135.5281057,68.6659,-71.64685043,67.85683527,0.8893
31690135.5298057,68.1636,-71.64695773,67.85678966,1.5423
