lat,h,pondid,typeid
-72.99660021057349,221.5561625874126,1,1
-72.99260207437277,221.5841346153846,1,1
,,1,1
-72.9920584184588,221.59812062937064,1,1
-72.9895213575269,221.5701486013986,1,1
-72.99660021057349,221.54217657342656,1,2
-72.99636236111112,218.7729458041958,1,2
-72.99577340053764,220.40930944055944,1,2
-72.99546759408604,219.73798076923077,1,2
-72.99466343637994,219.20651223776224,1,2
-72.9941877374552,219.33238636363637,1,2
-72.99358745071686,219.64007867132867,1,2
-72.99319103494625,220.39532342657344,1,2
-72.99262472670252,221.0666520979021,1,2
-72.9925907482079,221.5841346153846,1,2
,,1,2
-72.9920584184588,221.59812062937064,1,2
-72.99176393817206,220.21350524475525,1,2
-72.99158271953407,219.54217657342656,1,2
-72.99144680555557,219.09462412587413,1,2
-72.9908125403226,218.68902972027973,1,2
-72.990325515233,218.22749125874125,1,2
-72.98972522849463,219.51420454545453,1,2
-72.98957798835127,220.7449737762238,1,2
-72.9895213575269,221.5701486013986,1,2
-72.8936620967742,209.6153846153846,2,1
-72.8822814516129,209.5194805194805,2,1
,,2,1
-72.88179112903225,209.5034965034965,2,1
-72.87683629032257,209.5194805194805,2,1
-72.8936879032258,209.63136863136864,2,2
-72.89309435483871,209.2797202797203,2,2
-72.89237177419353,206.83416583416584,2,2
-72.89188145161289,207.53746253746255,2,2
-72.89121048387096,205.82717282717283,2,2
-72.89035887096773,207.7772227772228,2,2
-72.8896879032258,206.32267732267732,2,2
-72.88917177419354,207.10589410589412,2,2
-72.88865564516128,206.3866133866134,2,2
-72.88821693548387,207.2977022977023,2,2
-72.88764919354838,206.46653346653346,2,2
-72.8872879032258,207.2817182817183,2,2
-72.88682338709677,206.6103896103896,2,2
-72.88643629032258,207.24975024975026,2,2
-72.88573951612902,206.8181818181818,2,2
-72.88535241935483,206.93006993006995,2,2
-72.88483629032257,208.94405594405595,2,2
-72.883675,206.96203796203795,2,2
-72.88225564516128,209.07192807192808,2,2
-72.88225564516128,209.53546453546454,2,2
,,2,2
-72.88181693548387,209.5194805194805,2,2
-72.8814814516129,207.26573426573427,2,2
-72.88086209677418,207.23376623376623,2,2
-72.88062983870967,206.64235764235764,2,2
-72.88006209677418,206.03496503496504,2,2
-72.87954596774193,207.21778221778223,2,2
-72.87910725806451,206.17882117882118,2,2
-72.87861693548386,208.28871128871128,2,2
-72.87763629032257,206.46653346653346,2,2
-72.87688790322579,208.16083916083917,2,2
-72.87683629032257,209.5034965034965,2,2
-71.87617355734767,95.00346528471526,3,1
-71.8735321236559,94.94951923076921,3,1
,,3,1
-71.86919061827956,95.0394293206793,3,1
-71.86732194444444,95.0394293206793,3,1
-71.87617355734767,94.96750124875123,3,2
-71.87562560035842,92.95351523476522,3,2
-71.87554129928314,92.77369505494504,3,2
-71.87528839605734,91.53293581418579,3,2
-71.87485284050179,90.97549325674323,3,2
-71.87452968637992,90.65181693306691,3,2
-71.874136281362,90.741727022977,3,2
-71.8736445250896,91.46100774225772,3,2
-71.87360237455196,93.15131743256741,3,2
-71.8735180734767,94.39207667332666,3,2
-71.8735321236559,94.94951923076921,3,2
,,3,2
-71.86920466845878,95.02144730269728,3,2
-71.86914846774192,92.28818056943055,3,2
-71.86854431003583,94.10436438561436,3,2
-71.86805255376343,92.71974900099899,3,2
-71.86778560035842,92.68378496503495,3,2
-71.8674062455197,94.17629245754244,3,2
-71.86732194444444,95.05741133866132,3,2
-71.64706928763441,84.47327672327673,4,1
-71.63884993279571,84.5452047952048,4,1
-71.64708434139784,84.49725274725276,4,2
-71.64613595430107,80.9488011988012,4,2
-71.64594025537635,81.09265734265735,4,2
-71.64580477150538,79.82192807192808,4,2
-71.64572950268817,80.32542457542458,4,2
-71.64562412634409,80.01373626373626,4,2
-71.64548864247313,80.34940059940061,4,2
-71.64533810483871,79.29445554445554,4,2
-71.64467573924732,78.91083916083917,4,2
-71.64393810483871,78.50324675324676,4,2
-71.64317036290323,78.4552947052947,4,2
-71.64216176075269,78.88686313686314,4,2
-71.64137896505376,79.58216783216784,4,2
-71.64079186827958,80.58916083916084,4,2
-71.64014455645162,81.30844155844156,4,2
-71.63952735215054,82.41133866133868,4,2
-71.63922627688173,83.08266733266734,4,2
-71.63883487903226,84.52122877122878,4,2
